Starting Phase 5 optimization with 10000 iterations...
Starting Phase 5: Definitive Truth Sweep...
Initial CV Fitness: 128.0 | Avg Score: 168.85
Iter 0/10000 | Best Fitness: 128.0
[1311] New Global Best! Fitness: 146.22 | Avg: 177.08 | Temp: 8689
[1331] New Global Best! Fitness: 138.41 | Avg: 169.85 | Temp: 8669
[1334] New Global Best! Fitness: 143.18 | Avg: 173.88 | Temp: 8666
[1336] New Global Best! Fitness: 138.75 | Avg: 169.92 | Temp: 8664
[1340] New Global Best! Fitness: 142.06 | Avg: 173.65 | Temp: 8660
[1347] New Global Best! Fitness: 135.22 | Avg: 167.15 | Temp: 8653
[1349] New Global Best! Fitness: 144.19 | Avg: 175.54 | Temp: 8651
[1352] New Global Best! Fitness: 120.0 | Avg: 151.54 | Temp: 8648
[1353] New Global Best! Fitness: 145.29 | Avg: 176.19 | Temp: 8647
[1361] New Global Best! Fitness: 146.95 | Avg: 180.23 | Temp: 8639
[1375] New Global Best! Fitness: 132.36 | Avg: 163.27 | Temp: 8625
[1381] New Global Best! Fitness: 126.54 | Avg: 158.69 | Temp: 8619
[1382] New Global Best! Fitness: 138.79 | Avg: 171.62 | Temp: 8618
[1394] New Global Best! Fitness: 132.77 | Avg: 163.73 | Temp: 8606
[1397] New Global Best! Fitness: 134.77 | Avg: 166.69 | Temp: 8603
[1400] New Global Best! Fitness: 136.03 | Avg: 165.42 | Temp: 8600
Iter 1400/10000 | Best Fitness: 136.03
[1404] New Global Best! Fitness: 136.32 | Avg: 167.04 | Temp: 8596
[1405] New Global Best! Fitness: 136.92 | Avg: 168.12 | Temp: 8595
[1407] New Global Best! Fitness: 141.28 | Avg: 171.62 | Temp: 8593
[1414] New Global Best! Fitness: 122.47 | Avg: 153.12 | Temp: 8586
[1416] New Global Best! Fitness: 144.78 | Avg: 174.04 | Temp: 8584
[1458] New Global Best! Fitness: 129.97 | Avg: 159.04 | Temp: 8542
[1460] New Global Best! Fitness: 132.3 | Avg: 161.08 | Temp: 8540
[1463] New Global Best! Fitness: 129.89 | Avg: 161.12 | Temp: 8537
[1464] New Global Best! Fitness: 137.88 | Avg: 168.38 | Temp: 8536
[1471] New Global Best! Fitness: 120.0 | Avg: 148.92 | Temp: 8529
[1473] New Global Best! Fitness: 125.23 | Avg: 156.77 | Temp: 8527
[1476] New Global Best! Fitness: 136.34 | Avg: 168.62 | Temp: 8524
[1488] New Global Best! Fitness: 131.25 | Avg: 161.58 | Temp: 8512
[1490] New Global Best! Fitness: 123.81 | Avg: 153.54 | Temp: 8510
[1493] New Global Best! Fitness: 121.28 | Avg: 151.77 | Temp: 8507
[1494] New Global Best! Fitness: 131.25 | Avg: 160.5 | Temp: 8506
Iter 1500/10000 | Best Fitness: 131.25
[1501] New Global Best! Fitness: 131.1 | Avg: 164.69 | Temp: 8499
[1505] New Global Best! Fitness: 134.92 | Avg: 163.19 | Temp: 8495
[1517] New Global Best! Fitness: 118.82 | Avg: 151.04 | Temp: 8483
[1518] New Global Best! Fitness: 122.86 | Avg: 154.38 | Temp: 8482
[1519] New Global Best! Fitness: 125.81 | Avg: 153.88 | Temp: 8481
[1522] New Global Best! Fitness: 139.67 | Avg: 167.62 | Temp: 8478
[1525] New Global Best! Fitness: 139.71 | Avg: 171.31 | Temp: 8475
[1526] New Global Best! Fitness: 142.7 | Avg: 174.85 | Temp: 8474
[1548] New Global Best! Fitness: 135.19 | Avg: 165.77 | Temp: 8452
[1553] New Global Best! Fitness: 150.31 | Avg: 187.65 | Temp: 8447
[1565] New Global Best! Fitness: 151.77 | Avg: 186.5 | Temp: 8435
[1581] New Global Best! Fitness: 160.54 | Avg: 196.88 | Temp: 8419
[1586] New Global Best! Fitness: 157.39 | Avg: 192.77 | Temp: 8414
Iter 1600/10000 | Best Fitness: 157.39
[1612] New Global Best! Fitness: 120.29 | Avg: 152.27 | Temp: 8388
[1614] New Global Best! Fitness: 121.1 | Avg: 151.92 | Temp: 8386
[1615] New Global Best! Fitness: 122.34 | Avg: 154.85 | Temp: 8385
[1616] New Global Best! Fitness: 129.85 | Avg: 163.54 | Temp: 8384
[1617] New Global Best! Fitness: 131.99 | Avg: 165.27 | Temp: 8383
[1618] New Global Best! Fitness: 139.27 | Avg: 173.08 | Temp: 8382
[1619] New Global Best! Fitness: 147.97 | Avg: 182.19 | Temp: 8381
[1626] New Global Best! Fitness: 151.68 | Avg: 185.96 | Temp: 8374
[1627] New Global Best! Fitness: 161.07 | Avg: 198.96 | Temp: 8373
[1637] New Global Best! Fitness: 148.39 | Avg: 184.65 | Temp: 8363
[1639] New Global Best! Fitness: 152.04 | Avg: 190.81 | Temp: 8361
[1644] New Global Best! Fitness: 147.86 | Avg: 182.77 | Temp: 8356
[1647] New Global Best! Fitness: 135.37 | Avg: 173.31 | Temp: 8353
[1648] New Global Best! Fitness: 136.16 | Avg: 167.46 | Temp: 8352
[1649] New Global Best! Fitness: 159.31 | Avg: 197.15 | Temp: 8351
[1661] New Global Best! Fitness: 156.67 | Avg: 191.42 | Temp: 8339
[1668] New Global Best! Fitness: 153.45 | Avg: 190.42 | Temp: 8332
[1677] New Global Best! Fitness: 131.52 | Avg: 166.38 | Temp: 8323
[1678] New Global Best! Fitness: 145.89 | Avg: 180.15 | Temp: 8322
[1690] New Global Best! Fitness: 144.29 | Avg: 180.92 | Temp: 8310
[1691] New Global Best! Fitness: 162.69 | Avg: 199.5 | Temp: 8309
[1695] New Global Best! Fitness: 172.84 | Avg: 209.27 | Temp: 8305
Iter 1700/10000 | Best Fitness: 172.84
[1706] New Global Best! Fitness: 151.72 | Avg: 183.69 | Temp: 8294
[1708] New Global Best! Fitness: 154.93 | Avg: 188.42 | Temp: 8292
