Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
South Carolina,,96.2,,,,75.4,0.467,,16.8,,10.01,,0.0
nan,,,,,,,,,,,,,0.0
South Carolina State,,84.4,,,,72.5,0.448,,21.1,,-7.56,,0.0
South Carolina Upstate,,95.6,,,,68.9,0.491,,18.4,,-5.2,,0.0
South Dakota,,108.2,,,,70.2,0.533,,13.9,,-3.5,,0.0
South Dakota State,,111.9,,,,71.9,0.568,,15.4,,-2.05,,0.0
South Florida,,95.9,,,,68.3,0.458,,17.2,,6.27,,0.0
Southeast Missouri State,,97.5,,,,68.9,0.499,,19.2,,-7.51,,0.0
Southeastern Louisiana,,94.0,,,,71.6,0.454,,18.8,,-8.02,,0.0
Southern,,94.0,,,,72.9,0.48,,19.4,,-13.07,,0.0
Southern California,,109.0,,,,67.7,0.528,,15.4,,10.65,,0.0
Southern Illinois,,98.7,,,,65.8,0.528,,16.7,,0.72,,0.0
SIU Edwardsville,,94.2,,,,69.8,0.497,,20.3,,-6.02,,0.0
Southern Methodist,,105.5,,,,70.8,0.522,,17.2,,4.44,,0.0
Southern Mississippi,,93.2,,,,68.5,0.48,,18.2,,-2.1,,0.0
Southern Utah,,114.7,,,,73.1,0.545,,14.3,,-5.69,,0.0
St. Bonaventure,,107.3,,,,65.3,0.498,,14.0,,4.49,,0.0
St. Francis (NY),,104.9,,,,73.6,0.495,,14.1,,-8.38,,0.0
St. John's (NY),,105.1,,,,74.1,0.504,,14.6,,7.19,,0.0
Stanford,,98.3,,,,69.7,0.514,,19.0,,10.01,,0.0
Stephen F. Austin,,109.2,,,,72.7,0.562,,19.5,,-8.46,,0.0
Stetson,,103.2,,,,68.4,0.51,,16.6,,-4.51,,0.0
nan,,,,,,,,,,,,,0.0
Stony Brook,,96.7,,,,67.7,0.465,,17.3,,-4.73,,0.0
Syracuse,,107.5,,,,69.3,0.512,,14.3,,8.59,,0.0
Tarleton State,,106.0,,,,69.2,0.518,,14.8,,-3.02,,0.0
TCU,,98.4,,,,67.6,0.499,,18.3,,6.99,,0.0
Temple,,96.4,,,,68.3,0.467,,17.2,,5.57,,0.0
Tennessee,,104.6,,,,68.7,0.496,,15.7,,8.46,,0.0
Tennessee State,,93.4,,,,72.5,0.475,,18.5,,-7.23,,0.0
Tennessee Tech,,94.4,,,,70.2,0.501,,20.1,,-3.84,,0.0
Tennessee-Martin,,94.3,,,,68.7,0.458,,17.8,,-5.89,,0.0
Texas,,105.5,,,,69.5,0.529,,18.0,,9.36,,0.0
Texas A&M,,97.2,,,,66.1,0.476,,19.2,,4.86,,0.0
Texas A&M-Corpus Christi,,90.9,,,,71.3,0.477,,20.9,,-6.1,,0.0
Texas Southern,,99.6,,,,73.9,0.482,,17.8,,-9.03,,0.0
Texas State,,101.1,,,,64.7,0.513,,17.8,,-7.37,,0.0
Texas Tech,,107.1,,,,67.1,0.494,,13.7,,7.28,,0.0
Texas-Rio Grande Valley,,97.2,,,,74.5,0.463,,16.9,,-5.23,,0.0
The Citadel,,107.9,,,,74.9,0.534,,14.4,,-1.45,,0.0
