Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
North Dakota State,,,,,,,0.549,,14.0,,53.1,36.3,0.299,0.374,-2.72,0,0,0,0,0,0,0.0,0.0
North Florida,,86.3,,,,65.0,0.447,,20.3,,45.5,28.1,0.26,0.331,,0,0,0,0,0,0,0.0,0.0
North Texas,,,,,,,0.493,,15.4,,51.6,40.6,0.32,0.478,-2.77,0,0,0,0,0,0,0.0,0.0
Northeastern,,,,,,,0.492,,17.7,,50.1,32.2,0.344,0.385,-0.24,0,0,0,0,0,0,0.0,0.0
Northern Arizona,,,,,,,0.539,,19.8,,51.6,26.0,0.33,0.315,-1.7,0,0,0,0,0,0,0.0,0.0
Northern Colorado,,,,,,,0.527,,19.9,,51.4,30.9,0.344,0.448,-3.64,0,0,0,0,0,0,0.0,0.0
Northern Illinois,,,,,,,0.478,,19.5,,49.8,38.3,0.32,0.397,-5.13,0,0,0,0,0,0,0.0,0.0
Northern Iowa,,,,,,,0.517,,16.3,,52.4,29.7,0.371,0.424,2.24,0,0,0,0,0,0,0.0,0.0
Northwestern,,,,,,,0.526,,16.2,,46.0,26.6,0.422,0.294,6.93,0,0,0,0,0,0,0.0,0.0
Northwestern State,,,,,,,0.446,,20.9,,50.9,48.9,0.29,0.369,-3.34,0,0,0,0,0,0,0.0,0.0
Notre Dame,,,,,,,0.503,,11.8,,50.5,44.0,0.351,0.267,8.7,0,0,0,0,0,0,0.0,0.0
Oakland,,,,,,,0.546,,16.2,,50.5,40.8,0.358,0.363,-1.6,0,0,0,0,0,0,0.0,0.0
Ohio,,,,,,,0.498,,19.2,,48.3,29.7,0.351,0.391,-1.4,0,0,0,0,0,0,0.0,0.0
Ohio State,,,,,,,0.548,,18.7,,48.9,26.6,0.356,0.383,8.23,0,0,0,0,0,0,0.0,0.0
